Vehicle Type,Brand,Model,Fuel Type,Battery Brand,Series,Item Code,Battery Model,Dimensions,Voltage,Ampere Hour,CCA,Total Warranty,Free Warranty,Pro-rata Warranty,Terminal Layout Image URL,Country of Origin,Base Price,Special Discount,Total Price,Rebate
Two Wheelers,BAJAJ,4S Champion (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Aspire (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Avenger 150 (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Avenger 160 Street (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Avenger 180 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Avenger 200 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Avenger 220 Cruise (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,BM 100 (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 100 (KS),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 125 (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 125X (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 150 Alloy (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 150 F1 (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 150 FF Roade (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 150 Spoke (KS),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BYK 92 (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Boxer (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Boxer 100S Alloy (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Boxer 101S Spoke (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Bravo (ES),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,CT 100 (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,CT 100 Alloy (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,CT 100 Spoke (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,CT 100B (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,CT 110 (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,CT 125 (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Caliber (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Chetak (KS),Petrol,Amaron,,,12V 5AH,,12,5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Classic SL125 (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Croma (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Discover (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Discover 100 (ES),Petrol,Amaron,,,12V 5AH,,12,5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Discover 125 Drum/Disc (ES),Petrol,Amaron,,,12V 5AH,,12,5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Discover 135 (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Discover 150 F Disc (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Discover 150S Drum/Disc (ES),Petrol,Amaron,,,12V 7AH,,12,7,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Dominar 250 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Dominar 400 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Dominar K10 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Eliminator (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Freedom CNG,Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,KB 125/4S (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,KTM 125 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,KTM 200 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,KTM 250 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,KTM 390 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,KTM Duke 200 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Kristal (ES),Petrol,Amaron,,,12V 5AH,,12,5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Platina (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Platina 100 (KS),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Platina 1000 UG (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Platina 1000B LES (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Platina 110H Gear (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar 125 (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar 125 Neon (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar 135 LS (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar 150 (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar 150 Neon (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar 150 Twin Disc (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar 180F Neon (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar 220 F (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar 250,Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar N125,Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar NS 160 (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar NS 200 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar NS 400Z(ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Pulsar RS 200 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,RTZ125 (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Saffire (ES),Petrol,Amaron,,,12V 5AH,,12,5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Sonic 110 (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Spirit (ES),Petrol,Amaron,,,12V 5AH,,12,5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,V12 Drum/Disc (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,V15 (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Wave (ES),Petrol,Amaron,,,12V 5AH,,12,5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Wind 125 (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,XCD135 (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
